trial,segment,median_m,min_m,max_m,cv_percent,p95_minus_p05_over_median_percent
S06A08T01,left_thigh,0.398578615502176,0.31771425519068264,0.418785199658338,6.723799325552638,19.86314233836095
S06A08T01,right_thigh,0.398149649594681,0.3173724224709832,0.4183344595288299,6.723797634491413,19.86308676433617
S06A08T01,left_shank,0.3809181623860687,0.3036366394145609,0.400229375598816,6.723804385050703,19.86316729543334
S06A08T01,right_shank,0.3849252628679477,0.30683084592430904,0.40443968050394125,6.723802667224315,19.863102640335384
S06A08T01,left_upper_arm,0.2751298767939111,0.21931103766207674,0.28907791103219593,6.723800856768884,19.863172564212515
S06A08T01,right_upper_arm,0.2803349276381084,0.22345995124296042,0.29454710118289174,6.723802262284043,19.86312473826037
S06A08T01,left_forearm,0.2309188299050511,0.18406933415480173,0.24262571720575393,6.723799442680707,19.863021215599073
S06A08T01,right_forearm,0.23384186201123924,0.18639965907738748,0.2456969616015238,6.723805015268091,19.863167346201653
S06A08T01,pelvis_chest,0.3194989065064937,0.2533444861748819,0.3357771163372885,6.985308453422344,20.31800750033397
S06A08T02,left_thigh,0.38236979254787956,0.3136314713327297,0.4102811641908444,7.555061396588963,20.123995666428947
S06A08T02,right_thigh,0.3819582487505178,0.3132940310294112,0.4098392881251565,7.5550648339797375,20.1239188678457
S06A08T02,left_shank,0.3654274101609588,0.29973540997658654,0.3921018302635138,7.555059950081355,20.123922452330586
S06A08T02,right_shank,0.36927131965277615,0.30288819031519876,0.39622636376809317,7.555066633505209,20.123993110230916
S06A08T02,left_upper_arm,0.26394129787204235,0.21649304824111554,0.28320773398167076,7.555064476753668,20.123922575311283
S06A08T02,right_upper_arm,0.26893476571551295,0.2205884821876102,0.2885655090446588,7.555066321859905,20.123933093785386
S06A08T02,left_forearm,0.22152824156598855,0.18170439109632439,0.23769845777337195,7.555065190247749,20.12392490076095
S06A08T02,right_forearm,0.22433237498619518,0.18400446774487056,0.24070743195321012,7.555062749510237,20.123941335233653
S06A08T02,pelvis_chest,0.3012113997364005,0.25147282503071,0.3282060590007813,7.670647706065072,20.310623730920916
S06A08T03,left_thigh,0.3715159177262756,0.32348260654614963,0.4043637211378665,5.238400725085207,16.018306152643163
S06A08T03,right_thigh,0.3711149928594846,0.32313443871999736,0.4039284942218481,5.23840089361855,16.01843041967116
S06A08T03,left_shank,0.3550539531659545,0.30914961175945926,0.3864470190012014,5.238405123091832,16.018377449302466
S06A08T03,right_shank,0.3587889425052338,0.31240187055461077,0.3905121044733873,5.238404491567882,16.018373826170507
S06A08T03,left_upper_arm,0.2564486657653605,0.22329285920366376,0.27912326332174564,5.2384016034214005,16.018336477703564
S06A08T03,right_upper_arm,0.26130034892570586,0.22751709390705224,0.2844038952937317,5.2384011802133,16.018358714783723
S06A08T03,left_forearm,0.2152397669154401,0.18741151105498133,0.23427057648914568,5.23839966245698,16.018415064455848
S06A08T03,right_forearm,0.21796405349907808,0.189783856947162,0.2372361177043581,5.2384055634200575,16.018487582775297
S06A08T03,pelvis_chest,0.29694687651453033,0.2592925948407896,0.3239876131030415,5.500152792978111,17.195319711906897
S06A08T04,left_thigh,0.37751641183522133,0.3063659088167794,0.4389883537996272,6.178484454074372,18.40299650754442
S06A08T04,right_thigh,0.37711018267416463,0.3060359846611426,0.43851607728297576,6.178481757626633,18.402936925925008
S06A08T04,left_shank,0.3607891895508082,0.29279056950978904,0.4195372522138795,6.178486244781986,18.40302074852039
S06A08T04,right_shank,0.3645843106928959,0.29587091909072577,0.4239511289195623,6.1784873562417895,18.402984424021255
S06A08T04,left_upper_arm,0.2605910648087428,0.21147703853823824,0.3030238287672416,6.178487770808646,18.403005292990937
S06A08T04,right_upper_arm,0.26552106427682987,0.21547813903948532,0.3087564918904561,6.178483063194704,18.40297298318374
S06A08T04,left_forearm,0.21871629967110362,0.17749455030685724,0.2543305202665123,6.1784952896122345,18.403019629810373
S06A08T04,right_forearm,0.221484988156909,0.1797414978132843,0.257549894603876,6.178486283937825,18.403073756188945
S06A08T04,pelvis_chest,0.3018904268152064,0.2456032574392874,0.33973822941898285,6.253784401330122,18.859113310532965
S06A08T05,left_thigh,0.3986576797711693,0.3307872711906106,0.413317269821559,4.157657457798317,13.349959749933044
S06A08T05,right_thigh,0.39822864115818574,0.33043096254290616,0.41287256328451083,4.157659092661232,13.349996461345945
S06A08T05,left_shank,0.3809936709201125,0.3161302092772081,0.3950038266776197,4.157658812343079,13.349954851394697
S06A08T05,right_shank,0.3850015695141191,0.3194557316627769,0.3991591411302281,4.15765897485208,13.349979475178086
S06A08T05,left_upper_arm,0.2751843885536301,0.22833486474397516,0.2853037464271578,4.157656549437412,13.349944441786015
S06A08T05,right_upper_arm,0.28039066869081236,0.23265459438031263,0.29070116959788206,4.157660645970345,13.349943572131519
S06A08T05,left_forearm,0.2309646816843986,0.19164335892628495,0.23945786689267162,4.157662718478365,13.34997418150588
S06A08T05,right_forearm,0.23388837535672286,0.19406938423643197,0.24248912757189975,4.15766113978009,13.349942067056121
S06A08T05,pelvis_chest,0.319506689637452,0.2609742163612593,0.3310976710682587,4.447960528533216,14.391105237883435
